Date,^BVSP,SPY,IEF,BRL=X,EURUSD=X,JPY=X,GLD,DBC
2003-05-21,13034.00,60.60167,45.44138,,,117.2500,,
2003-05-22,13101.00,61.20345,45.65611,,,116.9500,,
2003-05-23,13143.00,61.32772,45.60496,,,,,
2003-05-25,,,,,,116.8600,,
2003-05-26,12852.00,,,,,117.2700,,
2003-05-27,13246.00,62.40041,45.43626,,,118.5500,,
2003-05-28,13294.00,62.57705,45.44645,,,118.1700,,
2003-05-29,13405.00,62.41351,45.68673,,,119.3000,,
2003-05-30,13422.00,63.41429,45.66115,,,,,
2003-06-01,,,,,,118.6500,,
2003-06-02,13229.00,63.67593,45.48381,,,119.1400,,
2003-06-03,13350.00,63.93753,45.78627,,,118.8300,,
2003-06-04,13718.00,64.85983,45.91960,,,117.7200,,
2003-06-05,13780.00,65.18033,45.75551,,,118.6300,,
2003-06-06,13923.00,64.92522,45.70427,,,,,
2003-06-08,,,,,,118.1800,,
2003-06-09,13846.00,64.26459,45.95544,,,117.6700,,
2003-06-10,13894.00,64.91865,46.21182,,,117.6900,,
2003-06-11,13877.00,65.60551,46.11440,,,117.6200,,
2003-06-12,13983.00,65.80825,46.29384,,,117.3900,,
2003-06-13,13734.00,65.12148,46.46302,,,,,
2003-06-15,,,,,,117.6400,,
2003-06-16,13833.00,66.49505,46.22206,,,118.0900,,
2003-06-17,13777.00,66.49505,45.97084,,,117.9400,,
2003-06-18,13511.00,66.43620,45.69399,,,118.4500,,
2003-06-19,,65.42233,45.76062,,,118.3300,,
2003-06-20,13131.00,65.27792,45.68889,,,,,
2003-06-22,,,,,,117.7100,,
2003-06-23,12991.00,64.60835,45.86319,,,117.9200,,
2003-06-24,13108.00,64.67395,46.07854,,,117.9300,,
2003-06-25,13026.00,64.02410,45.72987,,,119.2600,,
2003-06-26,13112.00,64.85776,45.27877,,,119.5300,,
2003-06-27,13024.00,64.10944,45.23772,,,,,
2003-06-29,,,,,,119.6700,,
2003-06-30,12973.00,64.08970,45.34541,,,119.2400,,
2003-07-01,13291.00,64.68053,45.46576,,,118.1500,,
2003-07-02,13310.00,65.49453,45.51223,,,118.1700,,
2003-07-03,13134.00,64.81842,45.22295,,,118.3300,,
2003-07-04,13281.00,,,,,,,
2003-07-06,,,,,,118.0900,,
2003-07-07,13402.00,66.10506,44.98020,,,118.2500,,
2003-07-08,13619.00,66.40044,44.99572,,,117.8100,,
2003-07-09,,66.02629,45.07837,,,117.6700,,
2003-07-10,13501.00,65.18604,45.18166,,,117.9100,,
2003-07-11,13321.00,65.80306,45.34180,,,,,
2003-07-13,,,,,,117.7200,,
2003-07-14,13588.00,66.12476,45.07837,,,117.8600,,
2003-07-15,13614.00,65.98032,44.46368,,,118.0200,,
2003-07-16,13487.00,65.59297,44.47919,,,118.8200,,
2003-07-17,13622.00,64.66082,44.38618,,,118.4200,,
2003-07-18,13794.00,65.32385,44.27254,,,,,
2003-07-20,,,,,,118.5500,,
2003-07-21,13676.00,64.51646,43.69402,,,119.0200,,
2003-07-22,13835.00,65.10066,43.84898,,,118.7200,,
2003-07-23,13799.00,65.14661,43.98324,,,118.9500,,
2003-07-24,13761.00,64.65431,43.81281,,,118.7600,,
2003-07-25,13750.00,65.79652,43.75605,,,,,
2003-07-27,,,,,,119.4100,,
2003-07-28,13643.00,65.55363,43.43574,,,119.8200,,
2003-07-29,13623.00,65.25168,43.01217,,,120.2800,,
2003-07-30,13475.00,65.09409,43.35828,,,120.5600,,
2003-07-31,13572.00,65.24509,43.06901,,,120.1300,,
2003-08-01,13130.00,64.66740,43.24456,,,,,
2003-08-03,,,,,,120.3100,,
2003-08-04,12939.00,64.66740,43.56244,,,119.9000,,
2003-08-05,13059.00,63.29543,43.27065,,,120.2000,,
2003-08-06,12888.00,63.66302,43.71347,,,119.1100,,
2003-08-07,13328.00,64.33265,43.86981,,,119.0300,,
2003-08-08,13500.00,64.51646,43.86462,,,,,
2003-08-10,,,,,,118.5000,,
2003-08-11,13560.00,64.75928,43.68224,,,118.6000,,
2003-08-12,13602.00,65.35017,43.60411,,,119.2000,,
2003-08-13,13682.00,65.01534,43.11953,,,118.9700,,
2003-08-14,13812.00,65.19260,43.20810,,,119.1300,,
2003-08-15,13890.00,65.39609,43.19250,,,,,
2003-08-17,,,,,,119.4000,,
