Date,Estratégia,Ibovespa,CDI
2005,-0.07444293752867459,0.2771415483279889,0.18999567591110456
2006,0.04287902432623558,0.32932807269249187,0.15027140394124316
2007,0.2920566986013593,0.43647974097225295,0.11815799714209918
2008,-0.022213842993327182,-0.4122342923332186,0.1237980248618562
2009,-0.030898734495995006,0.8265778961384842,0.09876765005422561
2010,0.08855105922968565,0.010453723683445881,0.09750981955970905
2011,0.10539226916555933,-0.18109804487410697,0.11595262271588269
2012,0.11092005092697943,0.07396835465341622,0.08397554715204203
2013,0.2810404540948461,-0.1549579997374977,0.08064630790220861
2014,0.08800664722295504,-0.02912225522744538,0.10814008223189142
2015,0.32852716599093723,-0.1331213630091791,0.13239157789836664
2016,-0.19683137149201702,0.389319492502886,0.13999103064111784
2017,0.08717984669461298,0.2685672538894508,0.09925471455021473
2018,-0.0413244291891115,0.15032328996623012,0.06421359508259572
2019,0.1412666859359777,0.3194670429073705,0.059598618337417975
2020,0.05111437205334268,0.028819288744784233,0.027578158163065414
2021,0.0030408337348175607,-0.12140210886292391,0.044236197381473774
2022,0.12595945627002836,0.049693766575718,0.12390989066133096
2023,-0.0065888189093574745,0.2195199534676553,0.13039434525537752
2024,3.995372481768733e-05,-0.10360323434064855,0.10875983174468806
2025,0.10468832682193452,0.339549229733211,0.14324226892249126
2026,0.1049462055170094,0.07813188518231384,0.07518903141599242
