Date,retorno,equity
2005-01-03,-0.00841053282392747,0.9915894671760725
2005-01-04,-0.02735067779574625,0.9644688231536841
2005-01-05,-0.0005770246196616625,0.9639123008978283
2005-01-06,-0.006332560791788685,0.9578082676544399
2005-01-07,-0.0014491783339483047,0.9564202326648785
2005-01-10,0.0031364175758970244,0.9594199658925522
2005-01-11,0.0031615427575742952,0.9624532131371919
2005-01-12,0.012558721281498212,0.9745403947874642
2005-01-13,0.0011320317393683542,0.9756436054456602
2005-01-14,0.0013365048592908592,0.9769475578652743
2005-01-17,-0.005318838074204321,0.9717513319979996
2005-01-18,-0.0002052809443726305,0.9715518499668716
2005-01-19,-0.004491602644883447,0.967188025107919
2005-01-20,-0.009012149623201416,0.9584715819118778
2005-01-21,0.005617094252786121,0.9638554071260939
2005-01-24,0.004473506969838091,0.9681672210077885
2005-01-25,-0.008737806763742181,0.9597075629156332
2005-01-26,0.011992500481999393,0.9712168563264774
2005-01-27,-0.004142745181902591,0.9671933523743482
2005-01-28,0.004244259401298609,0.9712983718530366
2005-01-31,0.003250359973158626,0.9744554412029018
2005-02-01,0.0005068901618670404,0.9749493830792254
2005-02-02,0.004575647947394329,0.9794104082227253
2005-02-03,-0.0035382191442897516,0.975945039566235
2005-02-04,0.011512681027229724,0.9871807835068681
2005-02-07,-0.003976910016902174,0.9832548543604464
2005-02-08,-0.0013679120192085785,0.9819098482272215
2005-02-09,0.006124660250450795,0.9879237124441849
2005-02-10,-0.0004015423732037115,0.9875270192121458
2005-02-11,0.004200047395873177,0.9916746794975422
2005-02-14,0.005358477397315929,0.9969885458531202
2005-02-15,0.004256500877999987,1.0012322284739
2005-02-16,-0.005277231887841558,0.9959484938306628
2005-02-17,0.0018574480428186634,0.9977984164112766
2005-02-18,-0.004615917155027243,0.9931926615837048
2005-02-21,0.0016602051069908384,0.994841565112692
2005-02-22,0.003282347211949546,0.9981069805502712
2005-02-23,0.0026604073890217628,1.0007623517363613
2005-02-24,0.0073776930027177464,1.0081456691361501
2005-02-25,0.007553523852781422,1.0157607214950484
2005-02-28,-0.006227322321084974,1.0094352520812009
2005-03-01,-0.000989843023341562,1.0084360696394132
2005-03-02,0.0007863493514026894,1.0092290526887053
2005-03-03,0.00019904863339574488,1.0094299383524263
2005-03-04,0.01795979930613257,1.0275590974588378
2005-03-07,0.0006083485856881022,1.0281842115824877
2005-03-08,-0.0009855624445794836,1.0271708718374424
2005-03-09,-0.009573231797231126,1.0173375269859786
2005-03-10,0.005347994046275178,1.022778242023352
2005-03-11,-0.007461711101431768,1.0151465662605434
2005-03-14,-0.0010983963308417019,1.0140315329968963
2005-03-15,-0.007122905960592687,1.0068086817462838
2005-03-16,0.004763166120766869,1.0116042787492716
2005-03-17,0.0037578689149096885,1.015405755022573
2005-03-18,-0.007467051512537488,1.0078236679436925
2005-03-21,-0.009299848954954193,0.9984510600585883
2005-03-22,-0.017347361731312433,0.9811305683487396
2005-03-23,-0.002979997191383434,0.9782068020106799
2005-03-24,0.0008386528428603145,0.9790271779260915
2005-03-25,0.0009554351777509606,0.9799625749318563
2005-03-27,-0.0049232541673023475,0.9751379701010228
2005-03-28,-0.00281889341709943,0.9723891600963414
2005-03-29,-0.0025136860479620052,0.9699448790314177
2005-03-30,0.01467990079562772,0.984183573632826
2005-03-31,0.0010639885214484227,0.9852307336581696
2005-04-01,-0.005711651972750503,0.9796034385946565
2005-04-03,0.0007040120591991546,0.9802930912286602
2005-04-04,-0.00045698371927741725,0.9798451132458486
2005-04-05,0.0028175443909477715,0.982605870348672
2005-04-06,-0.004755280125206941,0.9779333041824912
2005-04-07,0.01415880797295814,0.9917796740467717
2005-04-08,-0.009189207187838363,0.9826660051372691
2005-04-10,-0.0007094063605545579,0.9819688956229239
2005-04-11,-0.004196628182662702,0.9778479372810545
2005-04-12,-0.0025932372142031665,0.9753121456202655
2005-04-13,-0.007003994103392185,0.9684810651033744
2005-04-14,-0.01724021569571017,0.951784242643781
2005-04-15,-0.016228053706783152,0.9363386368368878
2005-04-17,0.005378717593362437,0.9413749379361873
2005-04-18,0.005404471562291505,0.9464625720177173
2005-04-19,0.005383976063113286,0.9515583038500934
2005-04-20,-0.01230362287023037,0.9398506893404859
2005-04-21,0.013741886013257633,0.9527660103828844
2005-04-22,-0.008254461544980541,0.9449014399888144
2005-04-24,-0.004511739732255446,0.9406382906189514
2005-04-25,0.00994623270941668,0.9499940979528354
2005-04-26,-0.007261778629108359,0.9430954511145424
2005-04-27,-0.0011841711878545027,0.9419786646539359
2005-04-28,-0.02817944292209825,0.9154342306394859
2005-04-29,0.01503313162072925,0.9291960739188103
2005-05-01,-0.006490846169345056,0.923164805141844
2005-05-02,0.004910767950842668,0.9276982532802804
2005-05-03,0.0061155434054823606,0.9333716322154061
2005-05-04,0.007710477542804246,0.9405683732246936
2005-05-05,-0.0051193397642160104,0.9357532841506805
2005-05-06,-0.004439304744115633,0.9315991901570286
2005-05-08,-0.00150226374700148,0.9301996824669198
2005-05-09,0.0041787848415886925,0.9340867867996631
2005-05-10,-0.008030165969605083,0.9265859148716467
2005-05-11,-0.006806414954655276,0.9202791866438913
2005-05-12,-0.010147980835326902,0.9109402110946789
2005-05-13,0.0005086976368705317,0.9114036042273931
2005-05-15,0.002998434422547491,0.9141363881671424
2005-05-16,0.0026930032930330586,0.9165981604707578
2005-05-17,0.008678269622598036,0.9245526464429004
2005-05-18,0.0047499985290642265,0.9289442701535465
2005-05-19,-0.0058703342278360595,0.923491056808712
2005-05-20,-0.0016250240697522626,0.9219903616131969
2005-05-22,0.002305325968446576,0.9241158499364813
2005-05-23,0.004507082562607088,0.9282809163695588
2005-05-24,0.0045736880670797534,0.932526583719656
2005-05-25,-0.007157731150635501,0.9258518091425701
2005-05-26,0.00479881379232788,0.9302947995739352
2005-05-27,0.00662222934548174,0.9364554250956229
2005-05-29,-0.003493713185872047,0.933183718428985
2005-05-30,-0.006726099738944623,0.9269070316640723
2005-05-31,-0.004193487113961979,0.9230200589709483
2005-06-01,0.018938311815601353,0.940500500659795
2005-06-02,0.0071045591158080835,0.9471823420651796
2005-06-03,-0.007727025596217586,0.9398634398637566
2005-06-05,0.005431011817989331,0.944967849312953
2005-06-06,-0.0002659603938749306,0.9447165252915506
2005-06-07,-0.004884856359726774,0.9401017207648411
2005-06-08,-0.005489390245556754,0.9349411355490435
2005-06-09,-0.009735436505600423,0.9258390754874318
2005-06-10,-0.0024444392448163587,0.9235759181169259
2005-06-12,-0.005099791412505528,0.9188658735809163
2005-06-13,-0.004420809047896069,0.9148037430131869
2005-06-14,0.011394468394486709,0.9252274453501087
2005-06-15,-0.00044677691270063314,0.9248140750885292
2005-06-16,0.015976045508829452,0.9395889468393495
2005-06-17,0.0031941782455777194,0.942590161413129
2005-06-19,-0.009691357798007725,0.9334551829019926
2005-06-20,0.005171984297860433,0.938282998450718
