,CAGR,Vol a.a.,Sharpe (exc. CDI),Max drawdown,Pior ano,Ano do pior,Retorno 2008,Retorno 2020
Estratégia,0.15529169597485004,0.10897908859375821,0.5695742706199347,-0.14456938108101391,-0.08429335340588706,2016.0,0.09886102136571995,0.08009096110079184
Ibovespa,0.07923571334695145,0.23932740325433266,0.06973247892909246,-0.5996164152508945,-0.4122342923332186,2008.0,-0.4122342923332186,0.028819288744784233
CDI,0.09227486250702932,0.00301804985651153,,0.0,0.027578158163065414,2020.0,0.1237980248618562,0.027578158163065414
